ID,degre
METRROTT0000002269775687,2
METRROTT0000002269775720,2
METRROTT0000002269775734,2
METRROTT0000002269775738,2
METRROTT0000002269775747,5
METRROTT0000002269775748,2
METRROTT0000002269775783,2
METRROTT0000002269775800,3
METRROTT0000002269775775,3
METRROTT0000002269775877,2
METRROTT0000002269775872,2
METRROTT0000002269775925,2
METRROTT0000002269777197,2
METRROTT0000002269775949,2
METRROTT0000002269777263,2
METRROTT0000002269775977,2
METRROTT0000002269776051,3
METRROTT0000002269776050,2
METRROTT0000002269776055,2
METRROTT0000002269776307,2
METRROTT0000002269776089,2
METRROTT0000002269776192,2
METRROTT0000002269776197,2
METRROTT0000002269776184,2
METRROTT0000002269776186,5
METRROTT0000002269776252,2
METRROTT0000002269776317,2
METRROTT0000002269776276,5
METRROTT0000002269776284,2
METRROTT0000002269776312,3
METRROTT0000002269776345,2
METRROTT0000002269776349,2
METRROTT0000002269776365,3
METRROTT0000002269776367,2
METRROTT0000002269776372,2
METRROTT0000002269776373,2
METRROTT0000002269776406,2
METRROTT0000002269776422,2
METRROTT0000002269776443,2
METRROTT0000002269776477,3
METRROTT0000002269776440,3
METRROTT0000002269776462,4
METRROTT0000002269776465,2
METRROTT0000002269776710,2
METRROTT0000002269776641,2
METRROTT0000002269776522,2
METRROTT0000002269776557,2
METRROTT0000002269776592,2
METRROTT0000002269776576,2
METRROTT0000002269776587,2
METRROTT0000002269776624,2
METRROTT0000002269776627,3
METRROTT0000002269776643,2
METRROTT0000002269776651,3
METRROTT0000002269776653,2
METRROTT0000002269776658,2
METRROTT0000002269776683,2
METRROTT0000002269776702,2
METRROTT0000002269776659,2
METRROTT0000002269776686,2
METRROTT0000002269776703,2
METRROTT0000002269776748,3
METRROTT0000002269776802,2
METRROTT0000002269776813,2
METRROTT0000002269776871,3
METRROTT0000002269776896,2
METRROTT0000002269776905,2
METRROTT0000002269776926,4
METRROTT0000002269776971,2
METRROTT0000002269777174,2
METRROTT0000002269776998,2
METRROTT0000002269777001,2
METRROTT0000002269777007,2
METRROTT0000002269777015,2
METRROTT0000002269777050,2
METRROTT0000002269777053,2
METRROTT0000002269777076,2
METRROTT0000002269777078,4
METRROTT0000002269777079,2
METRROTT0000002269777119,2
METRROTT0000002269777120,3
METRROTT0000002269777132,2
METRROTT0000002269777159,2
METRROTT0000002269777180,2
METRROTT0000002269777203,2
METRROTT0000002269777219,3
METRROTT0000002269777243,2
METRROTT0000002269777246,5
METRROTT0000002269777273,2
METRROTT0000002269777276,2
METRROTT0000002269777306,2
METRROTT0000002269777329,3
METRROTT0000002269777347,3
METRROTT0000002269777367,2
METRROTT0000002269777375,2
METRROTT0000002269777378,2
METRROTT0000002269777397,3
METRROTT0000002269777398,5
METRROTT0000002269777417,4
METRROTT0000002269777465,2
METRROTT0000002269777518,3
METRROTT0000002269777561,2
METRROTT0000002269777564,2
METRROTT0000002269777595,2
METRROTT0000002269777641,2
METRROTT0000002269777726,3
METRROTT0000002269777808,2
METRROTT0000002269777834,4
METRROTT0000002269777853,2
METRROTT0000002269777914,2
METRROTT0000002269777964,2
METRROTT0000002269777997,2
METRROTT0000002269778105,3
METRROTT0000002269778202,2
METRROTT0000002269778332,3
METRROTT0000002269780890,2
METRROTT0000002269778421,3
METRROTT0000002269778438,2
METRROTT0000002269778462,4
METRROTT0000002269778470,4
METRROTT0000002269778484,4
METRROTT0000002269778496,2
METRROTT0000002269778567,2
METRROTT0000002269778600,4
METRROTT0000002269778640,2
METRROTT0000002269778638,2
METRROTT0000002269778686,2
METRROTT0000002269778690,3
METRROTT0000002269778705,2
METRROTT0000002269778706,2
METRROTT0000002269778714,3
METRROTT0000002269778780,3
METRROTT0000002269779044,2
METRROTT0000002269778943,2
METRROTT0000002269779051,2
METRROTT0000002269779056,2
